User ID,Concert Visits,Friends Count
2529,8262,12
5956,8262,14
4024,8262,39
1925,8262,11
4511,8262,6
8028,8262,7
3495,8262,41
5932,8262,17
5465,8262,5
3854,8262,8
427,8262,27
1174,8262,5
7087,8262,2
7758,8262,17
5331,8262,8
2606,8262,7
6909,8262,2
2611,8262,3
4876,8262,14
4430,8262,7
354,8262,17
7963,8262,10
1291,8262,13
204,8262,3
3159,8262,4
3168,8262,3
8183,8262,7
8024,8262,7
3935,8262,30
4573,8262,8
1803,8262,15
3454,8262,26
4416,8262,13
6130,8262,4
3719,8262,4
5337,8262,21
2788,8262,33
1047,8262,5
1923,8262,56
5637,8262,4
1709,8262,33
1185,8262,3
5991,7887,15
2348,7887,2
5232,7887,11
6047,7887,7
6299,7887,3
2712,7887,9
7529,7887,4
6129,7887,13
688,7887,17
6045,7887,19
684,7887,6
907,7887,17
7093,7887,4
5797,7887,26
5013,7887,12
7001,7887,4
2370,7887,18
3622,7887,5
7117,7887,6
3636,7887,6
1704,7887,10
560,7887,23
6222,7887,5
4844,7887,5
8144,7887,8
1315,7887,86
4701,7887,3
2435,7887,70
7205,7887,12
8201,7887,34
4762,7887,6
2862,7887,17
2840,7887,2
7233,7887,41
5539,7887,6
4520,7887,10
6244,7887,6
4656,7887,5
2420,7887,22
5863,7887,18
4230,7887,3
7108,7887,2
6780,7887,8
7665,7887,6
4576,7887,8
249,7887,46
803,7887,22
2546,7887,13
750,7887,18
1401,7887,3
2604,7887,38
4568,7887,9
4845,7887,4
279,7887,51
2929,7887,5
4820,7887,3
8029,7887,6
3094,7887,17
6704,7887,12
3090,7887,5
2143,7887,1
5480,7887,5
1048,7887,6
7392,7887,33
464,7887,11
3936,7887,26
3120,7887,5
6493,7887,10
8049,7887,11
6708,7887,10
7914,7887,15
1028,7887,9
1907,7887,15
7068,7887,9
306,7887,31
5431,7887,17
1628,7887,14
5601,7887,6
4825,7887,11
1948,7887,7
5545,7887,11
2,7887,56
8307,7887,4
4,7887,34
4955,7887,21
6641,7887,6
5561,7887,9
3764,7887,65
4802,7887,10
6600,7887,21
7363,7887,7
6592,7887,12
1166,7887,9
1168,7887,16
1488,7887,16
3138,7887,5
1092,7887,13
4812,7887,24
5497,7887,9
1083,7887,24
1455,7887,3
1746,7887,5
2993,7887,9
3359,7887,19
2247,7887,19
7473,7887,2
930,7887,7
7005,7887,5
2275,7887,9
3956,7887,8
6390,7887,5
298,7887,24
7476,7887,5
934,7887,21
2315,7887,21
3877,7887,8
6442,7887,1
6339,7887,4
745,7512,10
6568,7512,25
7470,7512,21
2085,7512,17
7571,7512,10
7468,7512,11
4170,7512,11
2092,7512,31
885,7512,13
26,7512,14
7273,7512,36
8288,7512,14
2593,7512,7
5151,7512,9
1496,7512,7
6388,7512,6
7703,7512,2
8215,7512,12
1774,7512,14
7716,7512,4
7488,7512,15
4301,7512,2
8302,7512,4
7301,7512,6
4139,7512,8
3848,7512,5
1232,7512,39
2362,7512,14
4605,7512,8
6058,7512,24
8173,7512,10
5234,7512,22
4124,7512,7
4364,7512,17
2376,7512,14
5158,7512,3
6533,7512,1
7672,7512,5
6099,7512,1
6433,7512,5
7633,7512,12
3666,7512,9
6140,7512,8
985,7512,39
4850,7512,20
1906,7512,10
8199,7512,21
6711,7512,14
4697,7512,5
7031,7512,2
1833,7512,16
4594,7512,13
6190,7512,9
4643,7512,4
6199,7512,2
8269,7512,4
6214,7512,4
8265,7512,10
842,7512,10
8256,7512,6
4602,7512,23
6251,7512,7
3711,7512,16
2411,7512,1
5077,7512,9
4487,7512,15
154,7512,18
1067,7512,17
3553,7512,10
6393,7512,9
4868,7512,7
46,7512,24
8213,7512,13
2141,7512,10
6512,7512,17
7456,7512,11
6395,7512,2
148,7512,33
6511,7512,9
1213,7512,28
5041,7512,3
4107,7512,5
1189,7512,5
2524,7512,16
1979,7512,14
492,7512,50
1292,7512,19
4259,7512,4
3282,7512,11
5810,7512,18
5668,7512,7
4962,7512,23
5565,7512,8
4925,7512,6
3471,7512,10
5448,7512,11
8117,7512,19
6851,7512,7
1656,7512,14
5319,7512,7
3309,7512,7
5919,7512,5
5572,7512,6
629,7512,19
8013,7512,20
5876,7512,21
631,7512,4
5332,7512,9
7131,7512,5
413,7512,16
7850,7512,25
5500,7512,10
566,7512,13
643,7512,3
2965,7512,14
8142,7512,15
7127,7512,3
3955,7512,5
1618,7512,2
8067,7512,2
8003,7512,11
1362,7512,12
1407,7512,12
3176,7512,5
6021,7512,17
7161,7512,21
3928,7512,1
7092,7512,7
5410,7512,13
3217,7512,3
3190,7512,12
3170,7512,12
438,7512,10
5666,7137,4
444,7137,39
6881,7137,5
5829,7137,3
1027,7137,12
4571,7137,12
7263,7137,17
1461,7137,9
7572,7137,16
5170,7137,11
606,7137,28
5440,7137,2
1538,7137,35
7406,7137,6
5803,7137,19
8040,7137,19
591,7137,13
3072,7137,6
6906,7137,13
7257,7137,16
1406,7137,6
6508,7137,9
4979,7137,17
7179,7137,11
6301,7137,11
6294,7137,8
2383,7137,10
1051,7137,9
2424,7137,41
3821,7137,14
450,7137,15
1054,7137,8
7150,7137,21
2176,7137,12
190,7137,5
3033,7137,14
3949,7137,2
6369,7137,4
7869,7137,12
7436,7137,20
7272,7137,16
